Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Included / International,Price / International,Compare At Price / International,Status
racao-premier-nattu-para-caes-adultos-sabor-abobora-12kg,Ração Premier Nattu para Cães Adultos Sabor Abóbora 12kg,"<span>- Indicada para cães;</span><br><span>- Essa linha é formulada com proteínas de alta qualidade;</span><br><span>- Enriquecida com todas as vitaminas e minerais necessários para que os cães vivam saudáveis e felizes;</span><br><span>- Elaborada com ingredientes naturais e cuidadosamente selecionados;</span><br><span>- Muito saborosa, não possui corantes e aromatizantes artificiais;</span><br><span>- Promove também a saúde intestinal;</span><br><span>- Fibras naturais com prebiótico, e auxilia para uma pelagem bonita, pela presença do ômega 6,</span><br><span>- Disponível em embalagem de 12 kg.</span>",My Store,,raçao,"comida, raçao, raçoes",true,Title,Default Title,,,,,,0.0,,0,deny,manual,129.90,239.90,true,true,,https://cdn.shopify.com/s/files/1/0807/2242/8221/files/1656080468362.webp?v=1691611473,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
racao-premier-formula-para-caes-senior-de-porte-grande-e-gigante-sabor-frango-15kg,Ração Premier Fórmula para Cães Sênior de Porte Grande e Gigante Sabor Frango 15kg,"<span>- Indicada para cães sênior;</span><br><span>- Envelhecimento saudável;</span><br><span>- Rico em antioxidantes, que combatem processos relacionados ao envelhecimento e níveis adequados de energia para manutenção do peso;</span><br><span>- Suporte diferenciado para articulações senis;</span><br><span>- Associação exclusiva de ß-Glucano, EPA, DHA, condroitina e glicosamina;</span><br><span>- Saúde intestinal</span><br><span>- Através da combinação de ingredientes de alta digestibilidade, fibras especiais e prebiótico;</span><br><span>- Minimiza o tártaro ou cálculo dentário, com a presença do hexametafostato, importante ingrediente para a saúde bucal;</span><br><span>- Possui o sabor frango, tornando a refeição ainda mais irresistível para os cães;</span><br><span>- Disponível em embalagem de 15kg.</span>",My Store,,raçao,"comida, raçao, raçoes",true,Title,Default Title,,,,,,0.0,,0,deny,manual,129.90,239.90,true,true,,https://cdn.shopify.com/s/files/1/0807/2242/8221/files/1669836858199.webp?v=1691611417,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
racao-premier-nattu-para-caes-filhotes-sabor-mandioca,Ração Premier Nattu para Cães Filhotes Sabor Mandioca,"<span>- Indicada para cães;</span><br><span>- Essa linha é formulada com proteínas de alta qualidade;</span><br><span>- Enriquecida com todas as vitaminas e minerais necessários para que os cães vivam saudáveis e felizes;</span><br><span>- Elaborada com ingredientes naturais e cuidadosamente selecionados;</span><br><span>- Muito saborosa, não possui corantes e aromatizantes artificiais;</span><br><span>- Promove também a saúde intestinal;</span><br><span>- Fibras naturais com prebiótico, e auxilia para uma pelagem bonita, pela presença do ômega 6,</span><br><span>- Disponível em embalagem de 2,5 kg e 10,1 kg.</span>",My Store,,raçao,"comida, raçao, raçoes",true,Tamanho,2.5Kg,,,,,"",0.0,,0,deny,manual,69.90,199.00,true,true,"",https://cdn.shopify.com/s/files/1/0807/2242/8221/files/1656080414828.webp?v=1691611350,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
racao-premier-nattu-para-caes-filhotes-sabor-mandioca,,,,,,,,,10.1Kg,,,,,"",0.0,,0,deny,manual,119.00,199.00,true,true,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,
racao-premier-selecao-natural-para-caes-filhotes-sabor-batata-doce-10-1kg,"Ração Premier Seleção Natural para Cães Filhotes Sabor Batata Doce 10,1kg","<span>- Indicada para cães filhotes;</span><br><span>- Proporciona crescimento saudável e equilibrado;</span><br><span>- Possui fórmula com complexo de vegetais e proteína;</span><br><span>- Feita com batata doce e frango Korin;</span><br><span>- Auxilia no controle do índice glicêmico;</span><br><span>- Contém baixo teor de sódio,</span><br><span>- Disponível em embalagem com 10,1 kg.</span>",My Store,,raçao,"comida, raçao, raçoes",true,Title,Default Title,,,,,,0.0,,0,deny,manual,119.00,199.00,true,true,,https://cdn.shopify.com/s/files/1/0807/2242/8221/files/1656095712996.webp?v=1691611255,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
premier-selecao-natural-para-caes-adultos,Premier Seleção Natural para Cães Adultos,"<span data-mce-fragment=""1"">- Indicada para cães adultos;</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">- Suporte às defesas naturais, associação de vitaminas e minerais;</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">- Baixo teor de sódio, preserva o sabor natural dos ingredientes;</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">- Pelagem bonita e pele saudável, equilíbrio ideal de ácidos graxos essenciais;</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">- Ômegas 3 e 6;</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">- Complexo de vegetais, contém vegetais especialmente selecionados como fontes naturais de fibras e sais minerais que nutrem de maneira saudável;</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">- Disponível em embalagens de 2,5 kg e 12 kg.</span>",My Store,,raçao,"comida, raçao, raçoes",true,Size,2.5Kg,,,,,,0.0,,0,deny,manual,89.90,79.90,true,true,,https://cdn.shopify.com/s/files/1/0807/2242/8221/files/1656095356264.webp?v=1691611182,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
premier-selecao-natural-para-caes-adultos,,,,,,,,,12Kg,,,,,,0.0,,0,deny,manual,199.00,79.90,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,,,,
capa-protetora-de-banco-traseiro-baw-miaw-com-visor-preta,Capa Protetora de Banco Traseiro Baw & Miaw com Visor Preta,"<span>- Indicada para banco traseiro;</span><br><span>- Conta com visor;</span><br><span>- Confeccionada em poliéster 600 + PVC;</span><br><span>- Totalmente impermeável;</span><br><span>- Resistente e muito fácil para limpar;</span><br><span>- Possui instalação e remoção prática e rápida;</span><br><span>- É adaptável a todos os carros;</span><br><span>- Fechamento com zíper;</span><br><span>- Multiuso, você pode usá-la nos passeios com o seu pet, quando for a praia ou até mesmo no seu dia-a-dia;</span><br><span>- Disponível em embalagem com 1 unidade.</span>",My Store,,"",capa,true,Title,Default Title,,,,,,0.0,,0,deny,manual,129.90,199.90,true,true,,https://cdn.shopify.com/s/files/1/0807/2242/8221/files/1680030204606.webp?v=1691610981,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
capa-protetora-de-banco-traseiro-baw-miaw-com-visor-preta,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/2242/8221/files/1680030203557.webp?v=1691610982,2,,,,,,,,,,,,,,,,,,,,,,,,
capa-protetora-de-banco-traseiro-baw-miaw-com-visor-preta,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/2242/8221/files/1680030202565.webp?v=1691610982,3,,,,,,,,,,,,,,,,,,,,,,,,
